the_geom,OBJECTID,Sensor Status (1=Active 0=Inactive),Occupancy,Unique ID,RWIS Site Number,RWIS RPU ID,Sensor Name,PLSS Township,PLSS Section,PLSS Range,RWIS Name,NWS ID,Latitude,Longitude,Altitude,County Name,Route Name,Mile Post,Cost Center,Garage Name,DOT District,County Number,Data Last Pulled from RWIS Sensor (UTC),REST Service Last Updated (UTC),Normal Volume,Long Volume,Average Speed (MPH),Average Headway,Lane ID,UTC Offset,RAMS Route ID,RAMS Route Measure
POINT (-94.7808 40.6773),48,1,0,51205542,512055,55,IA 2 EB,T68N,23,R34W,Bedford,RBFI4,40.6773,-94.7808,1100,TAYLOR,IA 2,66,554605,Clarinda,4,87,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,2,-05:00,S001930002E,62.7
POINT (-91.4473 42.471),11,1,0,51202742,512027,27,US 20 WB Passing Lane,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,277,556605,Manchester,6,28,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,3,70,9999,2,-05:00,S001920020W,43.2
POINT (-91.6745 41.978),27,1,1,51200943,512009,9,I-380 NB Center Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,20,556608,Cedar Rapids,6,57,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,9999,2,53,9999,3,-05:00,S001910380N,20
POINT (-92.470606 43.370716),35,1,0,51206941,512069,69,Traffic 1,T99N,26,R14W,Saratoga,SRGI4,43.370716,-92.470606,1357,HOWARD,IA 9,222,552896,Decorah,2,45,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,60,9999,1,-05:00,S001930009E,221.4
POINT (-91.9534 42.9649),30,1,0,51207041,512070,70,Traffic 1,T94N,7,R09W,Hawkeye,HKYI4,42.9649,-91.9534,1074.5,FAYETTE,US 18,257,552833,West Union,2,33,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001920018E,263.4
POINT (-93.0027 40.739667),1,1,0,51201141,512011,11,IA 2 WB,T69N,26,R19W,Centerville,RCNI4,40.739667,-93.0027,968,APPANOOSE,IA 2,164,555604,Centerville,5,4,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,4,0,69,9999,1,-05:00,S001930002E,160
POINT (-94.308 41.049833),58,1,0,51201341,512013,13,US 34 EB,T72N,9,R30W,Creston,RCEI4,41.049833,-94.308,1274,UNION,US 34,87,554607,Creston,4,88,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,1,47,9999,1,-05:00,S001920034E,86.7
POINT (-91.6997 43.2455),6,1,0,51201541,512015,15,IA 9 WB,T97N,5,R07W,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265,552896,Decorah,2,96,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,0,49,9999,1,-05:00,S001930009E,264.8
POINT (-92.6436 41.1465),64,1,0,51205642,512056,56,IA 137 EB,T73N,12,R16W,Eddyville,RDYI4,41.1465,-92.6436,799,MONROE,IA 137,13,555690,Ottumwa,5,68,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,0,55,9999,2,-05:00,S001930137N,13.4
POINT (-94.7973 43.3993),25,1,0,51206442,512064,64,Traffic 2,T99N,13,R34W,Estherville,RETI4,43.3993,-94.7973,1283,EMMETT,IA 9,91,552656,Swea City,2,32,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,10,69,9999,2,-05:00,S001930009E,90.5
POINT (-92.5371 42.8332),32,1,0,51205843,512058,58,US 218 NB Passing Lane,T93N,30,R14W,Plainfield,RPFI4,42.8332,-92.5371,965,BREMER,US 218,211,552809,Waverly,2,9,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,8,3,68,9999,3,-05:00,S001920218S,62.1
POINT (-95.1476 42.4726),3,1,0,51207341,512073,73,WB Traffic,,,,Early,ERY14,42.4726,-95.1476,1399,Sac,US 20 W,71.4,553805,Storm Lake,3,81,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,1,0,64,9999,1,-05:00,S001920020W,235.537
POINT (-91.5555 40.895667),19,1,0,51203242,512032,32,US 218 NB Passing Lane,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,37,555844,Mount Pleasant,5,44,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,2,-05:00,S001920218N,38.2
POINT (-93.3498 43.392167),10,1,0,51204943,512049,49,I-35 NB Passing Lane,T99N,17,R21W,Worth County/Hanlontown,RHAI4,43.392167,-93.3498,1093,WORTH,I-35,211,552698,Hanlontown,2,98,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,3,-05:00,S001910035S,7.4
POINT (-93.7943 41.0267),52,1,4,51203544,512035,35,I-35 SB Passing Lane,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,115,555620,Osceola,5,20,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,5,17,61,9999,4,-05:00,S001920034E,114.1
POINT (-92.470606 43.370716),47,1,0,51206942,512069,69,Traffic 2,T99N,26,R14W,Saratoga,SRGI4,43.370716,-92.470606,1357,HOWARD,IA 9,222,552896,Decorah,2,45,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,62,9999,2,-05:00,S001930009E,221.4
POINT (-94.7808 40.6773),18,1,0,51205541,512055,55,IA 2 WB,T68N,23,R34W,Bedford,RBFI4,40.6773,-94.7808,1100,TAYLOR,IA 2,66,554605,Clarinda,4,87,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,48,9999,1,-05:00,S001930002E,62.7
POINT (-95.2915 41.498167),9,1,0,51200642,512006,6,I-80 EB Passing Lane,T77N,2,R39W,Avoca,RAVI4,41.498167,-95.2915,1238,POTTAWATTAMIE,I-80,43,554802,Avoca,4,78,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,3,68,9999,2,-05:00,S001910080E,42.4
POINT (-91.5555 40.895667),16,1,0,51203241,512032,32,US 218 NB Driving Lane,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,37,555844,Mount Pleasant,5,44,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,1,66,9999,1,-05:00,S001920218N,38.2
POINT (-90.6835 42.0685),62,1,0,51202843,512028,28,US 61 NB Passing Lane,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,159,556808,Maquoketa,6,49,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,0,61,9999,3,-05:00,S001920061S,32.7
POINT (-93.7943 41.0267),37,1,0,51203543,512035,35,I-35 NB Passing Lane,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,115,555620,Osceola,5,20,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,12,65,9999,3,-05:00,S001920034E,114.1
POINT (-95.1476 42.4726),33,1,0,51207342,512073,73,EB Traffic,,,,Early,ERY14,42.4726,-95.1476,1399,Sac,US 20 W,71.4,553805,Storm Lake,3,81,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,0,64,9999,2,-05:00,S001920020W,235.537
POINT (-92.4212 41.016833),38,1,0,51203644,512036,36,US 63 SB Passing Lane,T72N,24,R14W,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,IA 149,0,555690,Ottumwa,5,90,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,13,1,42,9999,4,-05:00,S001930149N,0.2
POINT (-96.0787 42.4822),44,1,2,51204142,512041,41,US 20 WB Passing Lane,T89N,31,R44W,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,18,553603,Sioux City Leeds,3,97,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,27,9999,2,-05:00,S001920020W,283.2
POINT (-91.4473 42.471),2,1,0,51202741,512027,27,US 20 WB Driving Lane,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,277,556605,Manchester,6,28,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,2,66,9999,1,-05:00,S001920020W,43.2
POINT (-91.6997 43.2455),15,1,0,51201542,512015,15,IA 9 EB,T97N,5,R07W,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265,552896,Decorah,2,96,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,2,-05:00,S001930009E,264.8
POINT (-95.0888 43.126833),46,1,0,51204241,512042,42,US 18 EB,T96N,22,R36W,Spencer,RSPI4,43.126833,-95.0888,1484,CLAY,US 18,85,553812,Spencer,3,21,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001920018E,84.6
POINT (-96.0843 42.997833),50,1,0,51200242,512002,2,IA 10 EB,T95N,31,R44W,Alton,RTNI4,42.997833,-96.0843,1410,SIOUX,IA 10,24,553808,Alton,3,84,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,1,1,59,9999,2,-05:00,S001930010E,24.2
POINT (-93.5315 42.5875),59,1,0,51204743,512047,47,I-35 NB Passing Lane,T90N,23,R23W,Williams,RWII4,42.5875,-93.5315,1067,HAMILTON,I-35,153,551609,Williams,2,4,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,6,71,9999,3,-05:00,S001910035S,65.8
POINT (-92.8725 41.390167),56,1,0,51203742,512037,37,IA 163 WB Passing Lane,T76N,13,R18W,Pella,RPLI4,41.390167,-92.8725,890,MARION,IA 163,45,555662,Oskaloosa,5,63,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,15,0,69,9999,2,-05:00,S001930163W,120.8
POINT (-91.6838 41.93),39,1,0,51201042,512010,10,US 30 EB Passing Lane,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252,556608,Cedar Rapids,6,57,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,18,3,65,9999,2,-05:00,S001920030E,249.3
POINT (-91.0992 40.813),28,1,0,51200744,512007,7,US 34 EB Driving Lane,T70N,33,R02W,Burlington,RBUI4,40.813,-91.0992,715,DES MOINES,US 34,263,555829,Burlington,5,29,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,4,-05:00,S001920034W,0.2
POINT (-92.4212 41.016833),63,1,0,51203643,512036,36,US 63 SB Drving Lane,T72N,24,R14W,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,IA 149,0,555690,Ottumwa,5,90,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,13,0,41,9999,3,-05:00,S001930149N,0.2
POINT (-90.731 42.490333),12,1,0,51202042,512020,20,US 20 EB Passing Lane,T89N,82,R02E,Dubuque,RDBI4,42.490333,-90.731,819,DUBUQUE,US 20,316,556806,Dubuque,6,31,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,18,2,42,9999,2,-05:00,S001920020E,296.3
POINT (-90.6835 42.0685),23,1,0,51202844,512028,28,US 61 NB Driving Lane,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,159,556808,Maquoketa,6,49,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,0,76,9999,4,-05:00,S001920061S,32.7
POINT (-92.062 40.6578),55,1,0,51205941,512059,59,IA 2 EB,T68N,30,R10W,Cantril,RCLI4,40.6578,-92.062,693,VAN BUREN,IA 2,219,555826,Bloomfield,5,89,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001930002E,212.7
POINT (-91.1272 41.6448),17,1,7,51204442,512044,44,I-80 EB Passing Lane,T79N,18,R02W,Tipton,RTPI4,41.6448,-91.1272,664,CEDAR,I-80,266,556802,Tipton,6,16,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,24,27,64,9999,2,-05:00,S001910080E,265.8
POINT (-91.6745 41.978),29,1,1,51200944,512009,9,I-380 NB Passing Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,20,556608,Cedar Rapids,6,57,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,55,7,45,9999,4,-05:00,S001910380N,20
POINT (-96.0787 42.4822),57,1,0,51204141,512041,41,US 20 WB Driving Lane,T89N,31,R44W,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,18,553603,Sioux City Leeds,3,97,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001920020W,283.2
POINT (-93.5315 42.5875),40,1,0,51204744,512047,47,I-35 NB Driving Lane,T90N,23,R23W,Williams,RWII4,42.5875,-93.5315,1067,HAMILTON,I-35,153,551609,Williams,2,4,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,66,9999,4,-05:00,S001910035S,65.8
POINT (-90.731 42.490333),51,1,0,51202041,512020,20,US 20 EB Driving Lane,T89N,82,R02E,Dubuque,RDBI4,42.490333,-90.731,819,DUBUQUE,US 20,316,556806,Dubuque,6,31,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,11,5,46,9999,1,-05:00,S001920020E,296.3
POINT (-95.0888 43.126833),13,1,0,51204242,512042,42,US 18 WB,T96N,22,R36W,Spencer,RSPI4,43.126833,-95.0888,1484,CLAY,US 18,85,553812,Spencer,3,21,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,2,-05:00,S001920018E,84.6
POINT (-92.6436 41.1465),5,1,0,51205641,512056,56,IA 137 WB,T73N,12,R16W,Eddyville,RDYI4,41.1465,-92.6436,799,MONROE,IA 137,13,555690,Ottumwa,5,68,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001930137N,13.4
POINT (-96.0843 42.997833),31,1,0,51200241,512002,2,IA 10 WB,T95N,31,R44W,Alton,RTNI4,42.997833,-96.0843,1410,SIOUX,IA 10,24,553808,Alton,3,84,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001930010E,24.2
POINT (-93.0027 40.739667),45,1,0,51201142,512011,11,IA 2 EB,T69N,26,R19W,Centerville,RCNI4,40.739667,-93.0027,968,APPANOOSE,IA 2,164,555604,Centerville,5,4,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,1,2,51,9999,2,-05:00,S001930002E,160
POINT (-92.4592 43.067167),49,0,9999,51203342,512033,33,US 18 EB,T95N,2,R14W,New Hampton,RNHI4,43.067167,-92.4592,1072,CHICKASAW,US 18,224,552819,New Hampton,2,19,03/15/2024 03:00:00 PM +0000,03/26/2024 03:26:11 AM +0000,9999,9999,9999,9999,2,-05:00,S001920018E,231.4
POINT (-91.1272 41.6448),34,1,6,51204441,512044,44,I-80 EB Driving Lane,T79N,18,R02W,Tipton,RTPI4,41.6448,-91.1272,664,CEDAR,I-80,266,556802,Tipton,6,16,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,6,24,71,9999,1,-05:00,S001910080E,265.8
POINT (-91.9534 42.9649),4,1,0,51207042,512070,70,Traffic 2,T94N,7,R09W,Hawkeye,HKYI4,42.9649,-91.9534,1074.5,FAYETTE,US 18,257,552833,West Union,2,33,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,2,-05:00,S001920018E,263.4
POINT (-92.5371 42.8332),41,1,0,51205844,512058,58,US 218 NB Driving Lane,T93N,30,R14W,Plainfield,RPFI4,42.8332,-92.5371,965,BREMER,US 218,211,552809,Waverly,2,9,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,2,70,9999,4,-05:00,S001920218S,62.1
POINT (-94.308 41.049833),20,1,0,51201342,512013,13,US 34 WB,T72N,9,R30W,Creston,RCEI4,41.049833,-94.308,1274,UNION,US 34,87,554607,Creston,4,88,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,6,0,52,9999,2,-05:00,S001920034E,86.7
POINT (-93.0583 42.4534),22,1,0,51205041,512050,50,US 20 WB Driving Lane,T88N,10,R19W,Steamboat Rock,RSBI4,42.4534,-93.0583,1111,HARDIN,US 20,181,551608,Iowa Falls,1,42,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,4,67,9999,1,-05:00,S001920020W,126.4
POINT (-93.0583 42.4534),21,1,0,51205042,512050,50,US 20 WB Passing Lane,T88N,10,R19W,Steamboat Rock,RSBI4,42.4534,-93.0583,1111,HARDIN,US 20,181,551608,Iowa Falls,1,42,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,11,0,65,9999,2,-05:00,S001920020W,126.4
POINT (-91.0992 40.813),36,1,0,51200743,512007,7,US 34 EB Passing Lane,T70N,33,R02W,Burlington,RBUI4,40.813,-91.0992,715,DES MOINES,US 34,263,555829,Burlington,5,29,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,28,52,9999,3,-05:00,S001920034W,0.2
POINT (-95.7834 40.6895),60,1,1,51203943,512039,39,I-29 NB Driving Lane,T68N,21,R43W,Sidney,RSDI4,40.6895,-95.7834,943,FREMONT,I-29,10,554808,Sidney,4,36,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,1,6,68,9999,3,-05:00,S001910029S,141.8
POINT (-93.2597 41.689),43,1,1,51205342,512053,53,,T80N,35,R21W,Colfax,RCFI4,41.689,-93.2597,806,JASPER,I-80,155,551804,Newton,1,50,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,51,73,9999,2,-05:00,S001910080E,154.2
POINT (-92.8725 41.390167),26,1,0,51203741,512037,37,IA 163 WB Drivng Lane,T76N,13,R18W,Pella,RPLI4,41.390167,-92.8725,890,MARION,IA 163,45,555662,Oskaloosa,5,63,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,6,3,75,9999,1,-05:00,S001930163W,120.8
POINT (-93.2597 41.689),42,1,0,51205341,512053,53,,T80N,35,R21W,Colfax,RCFI4,41.689,-93.2597,806,JASPER,I-80,155,551804,Newton,1,50,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,15,33,69,9999,1,-05:00,S001910080E,154.2
POINT (-92.4592 43.067167),24,0,9999,51203341,512033,33,US 18 WB,T95N,2,R14W,New Hampton,RNHI4,43.067167,-92.4592,1072,CHICKASAW,US 18,224,552819,New Hampton,2,19,03/15/2024 03:00:00 PM +0000,03/26/2024 03:26:11 AM +0000,9999,9999,9999,9999,1,-05:00,S001920018E,231.4
POINT (-95.2915 41.498167),14,1,1,51200641,512006,6,I-80 EB Driving Lane,T77N,2,R39W,Avoca,RAVI4,41.498167,-95.2915,1238,POTTAWATTAMIE,I-80,43,554802,Avoca,4,78,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,6,64,9999,1,-05:00,S001910080E,42.4
POINT (-91.6838 41.93),7,1,0,51201041,512010,10,US 30 EB Driving Lane,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252,556608,Cedar Rapids,6,57,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,0,60,9999,1,-05:00,S001920030E,249.3
POINT (-92.062 40.6578),8,1,0,51205942,512059,59,IA 2 WB,T68N,30,R10W,Cantril,RCLI4,40.6578,-92.062,693,VAN BUREN,IA 2,219,555826,Bloomfield,5,89,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,60,9999,2,-05:00,S001930002E,212.7
POINT (-95.7834 40.6895),54,1,4,51203944,512039,39,Traffic 4,T68N,21,R43W,Sidney,RSDI4,40.6895,-95.7834,943,FREMONT,I-29,10,554808,Sidney,4,36,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,8,72,9999,4,-05:00,S001910029S,141.8
POINT (-93.3498 43.392167),53,1,0,51204944,512049,49,I-35 NB Driving Lane,T99N,17,R21W,Worth County/Hanlontown,RHAI4,43.392167,-93.3498,1093,WORTH,I-35,211,552698,Hanlontown,2,98,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,4,-05:00,S001910035S,7.4
POINT (-94.7973 43.3993),61,1,0,51206441,512064,64,Traffic 1,T99N,13,R34W,Estherville,RETI4,43.3993,-94.7973,1283,EMMETT,IA 9,91,552656,Swea City,2,32,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,6,69,9999,1,-05:00,S001930009E,90.5
